Date,US TREASURY BILL RATE - 3 MONTH (EP) NADJ,Date,US BENCHMARK 10 YEAR DS GOVT. INDEX - TOT RETURN IND,US TREASURY BILL RATE - 3 MONTH (EP) NADJ,RF US GVT BMK BID YLD 3M - RED. YIELD,US BENCHMARK 5 YEAR DS GOVT. INDEX - TOT RETURN IND,US DOLLAR 3M DEPOSIT (FT/RFV) - TOT RETURN IND,US DOLLAR 3M DEPOSIT (FT/RFV) - MIDDLE RATE,US DOLLAR 3M DEPOSIT (FT/RFV) - RETURN IND. (OFCL),,Date,US NCREIF: NPI RETURNS - NATIONAL NADJ,US NCREIF: TBI RETURNS - NATIONAL(DISC.) NADJ,US NCREIF PROPERTY INDEX: VALUE OF RETURN - NATIONAL NADJ,US NCREIF: FUND INDEX OPEN-END DIVERSIFIED CORE RETURNS NADJ,,,,,,,,,,,,,,,,,,,,,,,
Q1 1984,9.7,3/31/84,55.244,9.7,9.33,60.446,,,,,Q4 1977,NA,NA,100,NA,,,,,,,,,,,,,,,,,,,,,,,
Q2 1984,9.9,6/30/84,54.631,9.9,9.68,60.774,,,,,Q1 1978,2.9,NA,102.9,2.92,,,,,,,,,,,,,,,,,,,,,,,
Q3 1984,10.22,9/30/84,52.713,10.22,9.74,59.64,,,,,Q2 1978,3.06,NA,106.0487,3.84,,,,,,,,,,,,,,,,,,,,,,,
Q4 1984,7.84,12/31/84,58.15,7.84,10.23,63.979,,,,,Q3 1978,3.39,NA,109.6438,3.44,,,,,,,,,,,,,,,,,,,,,,,
Q1 1985,8.15,3/31/85,63.073,8.15,8.12,69.046,,,,,Q4 1978,5.89,NA,116.1018,6.44,,,,,,,,,,,,,,,,,,,,,,,
Q2 1985,6.83,6/30/85,64.473,6.83,8.15,70.479,,,,,Q1 1979,3.81,NA,120.5253,4.06,,,,,,,,,,,,,,,,,,,,,,,
Q3 1985,7.26,9/30/85,71.932,7.26,6.87,76.515,,,,,Q2 1979,4.32,NA,125.732,6.14,,,,,,,,,,,,,,,,,,,,,,,
Q4 1985,7.26,12/31/85,73.111,7.26,7.03,77.996,,,,,Q3 1979,4.75,NA,131.7043,4.18,,,,,,,,,,,,,,,,,,,,,,,
Q1 1986,6.54,3/31/86,80.74,6.54,7.28,83.35,,,,,Q4 1979,6.19,NA,139.8567,4.84,,,,,,,,,,,,,,,,,,,,,,,
Q2 1986,6.12,6/30/86,91.371,6.12,6.33,89.129,,,,,Q1 1980,5.54,NA,147.6048,5.44,,,,,,,,,,,,,,,,,,,,,,,
Q3 1986,5.33,9/30/86,93.193,5.33,5.99,90.238,,,,,Q2 1980,2.36,NA,151.0883,3.88,,,,,,,,,,,,,,,,,,,,,,,
Q4 1986,5.84,12/31/86,94.687,5.84,5.19,92.478,,,,,Q3 1980,3.79,NA,156.8145,3.78,,,,,,,,,,,,,,,,,,,,,,,
Q1 1987,5.79,3/31/87,97.07,5.79,5.83,94.463,,,,,Q4 1980,5.32,NA,165.1571,3.85,,,,,,,,,,,,,,,,,,,,,,,
Q2 1987,5.89,6/30/87,96.545,5.89,5.54,94.656,,,,,Q1 1981,2.96,NA,170.0457,3.8,,,,,,,,,,,,,,,,,,,,,,,
Q3 1987,6.81,9/30/87,93.454,6.81,5.64,93.25,,,,,Q2 1981,4.23,NA,177.2386,4.45,,,,,,,,,,,,,,,,,,,,,,,
Q4 1987,5.85,12/31/87,87.669,5.85,6.63,90.493,,,,,Q3 1981,3.21,NA,182.928,3.98,,,,,,,,,,,,,,,,,,,,,,,
Q1 1988,5.89,3/31/88,93.998,5.89,5.86,95.45,,,,,Q4 1981,5.29,NA,192.6049,3.79,,,,,,,,,,,,,,,,,,,,,,,
Q2 1988,6.75,6/30/88,97.369,6.75,5.87,98.592,,,,,Q1 1982,2.49,NA,197.4008,2.63,,,,,,,,,,,,,,,,,,,,,,,
Q3 1988,7.49,9/30/88,97.989,7.49,6.55,99.248,,,,,Q2 1982,2.07,NA,201.487,2.04,,,,,,,,,,,,,,,,,,,,,,,
Q4 1988,8.39,12/31/88,99.911,8.39,7.24,100.543,,,,,Q3 1982,1.52,NA,204.5496,1.53,,,,,,,,,,,,,,,,,,,,,,,
Q1 1989,9.2,3/31/89,100.025,9.2,8.37,100.024,,,,,Q4 1982,3.04,NA,210.7679,1.06,,,,,,,,,,,,,,,,,,,,,,,
Q2 1989,8.26,6/30/89,101.727,8.26,8.82,101.048,,,,,Q1 1983,1.75,NA,214.4563,1.85,,,,,,,,,,,,,,,,,,,,,,,
Q3 1989,8.14,9/30/89,111.422,8.14,7.97,108.603,,,,,Q2 1983,2.54,NA,219.9035,3.28,,,,,,,,,,,,,,,,,,,,,,,
Q4 1989,7.85,12/31/89,111.91,7.85,7.89,109.397,,,,,Q3 1983,2.96,NA,226.4126,3.13,,,,,,,,,,,,,,,,,,,,,,,
Q1 1990,8.05,3/31/90,116.414,8.05,7.78,113.471,245.24,8.3061,83.7766,,Q4 1983,5.31,NA,238.4351,4.38,,,,,,,,,,,,,,,,,,,,,,,
Q2 1990,8,6/30/90,113.077,8,8.002,112.343,250.39,8.495,85.5234,,Q1 1984,3.35,NA,246.4227,3.91,,,,,,,,,,,,,,,,,,,,,,,
Q3 1990,7.37,9/30/90,116.891,7.37,7.877,115.822,255.68,8.245,87.3171,,Q2 1984,3.16,5.6,254.2097,3.14,,,,,,,,,,,,,,,,,,,,,,,
Q4 1990,6.63,12/31/90,117.059,6.63,7.13,118.172,260.9,8.06,89.0858,,Q3 1984,2.46,-10.27,260.4632,2.89,,,,,,,,,,,,,,,,,,,,,,,
Q1 1991,5.91,3/31/91,124.233,5.91,6.63,123.783,266.23,7.435,90.8921,,Q4 1984,4.21,1.37,271.4287,3.09,,,,,,,,,,,,,,,,,,,,,,,
Q2 1991,5.69,6/30/91,126.493,5.69,5.977,125.907,270.74,6.31,92.4132,,Q1 1985,2.08,6.86,277.0745,2.27,,,,,,,,,,,,,,,,,,,,,,,
Q3 1991,5.26,9/30/91,126.914,5.26,5.746,127.386,274.89,6.12,93.8158,,Q2 1985,2.6,6.42,284.2784,2.17,,,,,,,,,,,,,,,,,,,,,,,
Q4 1991,3.95,12/31/91,136.267,3.95,5.243,135.169,278.92,5.56,95.177,,Q3 1985,2.39,7.98,291.0726,2.24,,,,,,,,,,,,,,,,,,,,,,,
Q1 1992,4.15,3/31/92,145.663,4.15,3.898,142.625,282.44,4.12,96.3643,,Q4 1985,3.73,0.86,301.9297,2.37,,,,,,,,,,,,,,,,,,,,,,,
Q2 1992,3.65,6/30/92,140.925,3.65,4.107,140.281,285.41,4.185,97.3604,,Q1 1986,2.03,-12.45,308.0588,2.08,,,,,,,,,,,,,,,,,,,,,,,
Q3 1992,2.74,9/30/92,146.448,2.74,3.632,146.439,288.25,3.81,98.3161,,Q2 1986,1.96,15.24,314.0968,1.41,,,,,,,,,,,,,,,,,,,,,,,
Q4 1992,3.15,12/31/92,157.705,3.15,2.664,155.468,290.7,3.12,99.1355,,Q3 1986,1.5,1.31,318.8082,1.44,,,,,,,,,,,,,,,,,,,,,,,
Q1 1993,2.96,3/31/93,155.097,2.96,3.093,152.319,293.31,3.37,100.0091,,Q4 1986,2.57,1.74,327.0016,1.65,,,,,,,,,,,,,,,,,,,,,,,
Q2 1993,3.1,6/30/93,163.886,3.1,2.972,159.958,295.64,3.185,100.7902,,Q1 1987,1.83,2.29,332.9857,1.44,,,,,,,,,,,,,,,,,,,,,,,
Q3 1993,2.98,9/30/93,169.453,2.98,3.049,163.507,298.02,3.245,101.5836,,Q2 1987,1.19,5.85,336.9483,1.42,,,,,,,,,,,,,,,,,,,,,,,
Q4 1993,3.01,12/31/93,177.22,3.01,2.982,168.501,300.43,3.245,102.3896,,Q3 1987,2.09,1.35,343.9905,2.26,,,,,,,,,,,,,,,,,,,,,,,
Q1 1994,3.57,3/31/94,172.424,3.57,3.095,166.962,303.03,3.185,103.261,,Q4 1987,2.67,-14.56,353.175,1.46,,,,,,,,,,,,,,,,,,,,,,,
Q2 1994,4.23,6/30/94,163.653,4.23,3.516,162.818,305.61,3.87,104.124,,Q1 1988,1.84,4.86,359.6734,1.6,,,,,,,,,,,,,,,,,,,,,,,
Q3 1994,4.79,9/30/94,159.825,4.79,4.291,160.648,308.98,4.87,105.2547,,Q2 1988,2,8.59,366.8669,1.74,,,,,,,,,,,,,,,,,,,,,,,
Q4 1994,5.7,12/31/94,158.957,5.7,4.84,160.834,312.91,5.435,106.577,,Q3 1988,2.39,2.35,375.635,1.98,,,,,,,,,,,,,,,,,,,,,,,
Q1 1995,5.88,3/31/95,159.894,5.88,5.629,160.69,317.56,6.425,108.1429,,Q4 1988,3.07,-8.22,387.167,1.81,,,,,,,,,,,,,,,,,,,,,,,
Q2 1995,5.66,6/30/95,170.588,5.66,5.87,168.841,322.54,6.245,109.8204,,Q1 1989,1.75,5.89,393.9425,1.69,,,,,,,,,,,,,,,,,,,,,,,
Q3 1995,5.42,9/30/95,184.351,5.42,5.488,178.791,327.44,5.935,111.4731,,Q2 1989,2,2.8,401.8213,1.4,,,,,,,,,,,,,,,,,,,,,,,
Q4 1995,5.08,12/31/95,187.481,5.08,5.416,180.874,332.22,5.805,113.0826,,Q3 1989,2.05,2.76,410.0586,2.18,,,,,,,,,,,,,,,,,,,,,,,
Q1 1996,5.15,3/31/96,197.807,5.15,4.988,187.512,337.02,5.505,114.6912,,Q4 1989,1.75,-4.68,417.2347,1.29,,,,,,,,,,,,,,,,,,,,,,,
Q2 1996,5.16,6/30/96,189.916,5.16,5.119,184.551,341.5,5.4,116.1917,,Q1 1990,1.38,-5.28,422.9925,1.34,,,,,,,,,,,,,,,,,,,,,,,
Q3 1996,5.04,9/30/96,187.674,5.04,5.179,184.107,346.13,5.5,117.7406,,Q2 1990,1.52,9.61,429.422,1.3,,,,,,,,,,,,,,,,,,,,,,,
Q4 1996,5.15,12/31/96,192.035,5.15,5.05,188.025,350.94,5.55,119.3476,,Q3 1990,0.84,3.72,433.0291,0.38,,,,,,,,,,,,,,,,,,,,,,,
Q1 1997,5.34,3/31/97,197.961,5.34,5.1,192.042,355.81,5.495,120.9792,,Q4 1990,-1.43,0.69,426.8368,-1.58,,,,,,,,,,,,,,,,,,,,,,,
Q2 1997,5.17,6/30/97,193.874,5.17,5.298,190.961,360.68,5.745,122.619,,Q1 1991,0.05,-5.19,427.0502,-0.67,,,,,,,,,,,,,,,,,,,,,,,
Q3 1997,5.11,9/30/97,203.703,5.11,5.229,198.162,365.87,5.745,124.3617,,Q2 1991,0.01,-3.43,427.0929,-0.97,,,,,,,,,,,,,,,,,,,,,,,
Q4 1997,5.35,12/31/97,212.487,5.35,5.094,204.57,371.12,5.715,126.1294,,Q3 1991,-0.03,6.67,426.952,-1.29,,,,,,,,,,,,,,,,,,,,,,,
Q1 1998,5.16,3/31/98,220.138,5.16,5.263,208.815,376.56,5.685,127.9632,,Q4 1991,-5.33,-3.72,404.1955,-3.45,,,,,,,,,,,,,,,,,,,,,,,
Q2 1998,5.1,6/30/98,224.139,5.1,5.102,212.395,381.78,5.66,129.7219,,Q1 1992,-0.03,6.39,404.0742,-1.12,,,,,,,,,,,,,,,,,,,,,,,
Q3 1998,4.36,9/30/98,229.844,4.36,5.03,216.283,387.17,5.65,131.539,,Q2 1992,-1.03,0.28,399.9122,-1.21,,,,,,,,,,,,,,,,,,,,,,,
Q4 1998,4.47,12/31/98,252.96,4.47,4.125,231.449,392.62,5.245,133.3769,,Q3 1992,-0.44,-0.75,398.1526,-1.86,,,,,,,,,,,,,,,,,,,,,,,
Q1 1999,4.5,3/31/99,248.93,4.5,4.396,229.023,397.83,5,135.1281,,Q4 1992,-2.81,-12.28,386.9645,-1.43,,,,,,,,,,,,,,,,,,,,,,,
Q2 1999,4.78,6/30/99,240.028,4.78,4.419,225.792,402.7,4.9,136.7647,,Q1 1993,0.77,2.99,389.9442,0.13,,,,,,,,,,,,,,,,,,,,,,,
Q3 1999,4.86,9/30/99,231.982,4.86,4.658,223.317,407.76,5.21,138.4658,,Q2 1993,-0.24,11.6,389.0083,-0.74,,,,,,,,,,,,,,,,,,,,,,,
Q4 1999,5.22,12/31/99,231.905,5.22,4.812,224.708,413.35,6.04,140.3465,,Q3 1993,1.1,6.64,393.2874,0.54,,,,,,,,,,,,,,,,,,,,,,,
Q1 2000,5.88,3/31/00,226.01,5.88,5.405,222.431,419.9,6.01,142.5541,,Q4 1993,-0.25,-16.03,392.3042,0.62,,,,,,,,,,,,,,,,,,,,,,,
Q2 2000,5.87,6/30/00,237.318,5.87,5.815,227.727,426.3,6.29,144.7105,,Q1 1994,1.31,10.22,397.4434,1.28,,,,,,,,,,,,,,,,,,,,,,,
Q3 2000,6.21,9/30/00,240.858,6.21,5.858,232.659,433.37,6.72,147.093,,Q2 1994,1.54,14.69,403.564,1.42,,,,,,,,,,,,,,,,,,,,,,,
Q4 2000,5.89,12/31/00,244.444,5.89,6.193,238.579,440.63,6.74,149.5371,,Q3 1994,1.51,-3.42,409.6578,1.74,,,,,,,,,,,,,,,,,,,,,,,
Q1 2001,4.29,3/31/01,261.012,4.29,5.868,249.485,447.95,6.28,152.0025,,Q4 1994,1.88,-9.41,417.3594,1.56,,,,,,,,,,,,,,,,,,,,,,,
Q2 2001,3.62,6/30/01,264.843,3.62,4.263,256.392,453.9,4.8,154.0021,,Q1 1995,2.11,13.26,426.1656,2.34,,,,,,,,,,,,,,,,,,,,,,,
Q3 2001,2.37,9/30/01,260.911,2.37,3.666,256.943,458.57,3.79,155.5692,,Q2 1995,2.08,1.27,435.0299,2.22,,,,,,,,,,,,,,,,,,,,,,,
Q4 2001,1.73,12/31/01,278.139,1.73,2.346,271.542,462.48,2.59,156.8743,,Q3 1995,2.06,3.55,443.9915,2.12,,,,,,,,,,,,,,,,,,,,,,,
Q1 2002,1.79,3/31/02,271.04,1.79,1.735,268.591,464.93,1.83,157.687,,Q4 1995,1.09,1.68,448.831,0.26,,,,,,,,,,,,,,,,,,,,,,,
Q2 2002,1.67,6/30/02,265.113,1.67,1.823,265.792,467.07,2,158.3944,,Q1 1996,2.4,-2.28,459.603,2.4,,,,,,,,,,,,,,,,,,,,,,,
Q3 2002,1.6,9/30/02,281.185,1.6,1.726,279.408,469.25,1.82,159.1152,,Q2 1996,2.29,8.89,470.1279,3.24,,,,,,,,,,,,,,,,,,,,,,,
Q4 2002,1.19,12/31/02,310.1,1.19,1.592,299.434,471.35,1.73,159.8102,,Q3 1996,2.63,2.16,482.4922,2.72,,,,,,,,,,,,,,,,,,,,,,,
Q1 2003,1.09,3/31/03,310.344,1.09,1.219,301.992,473.16,1.33,160.4061,,Q4 1996,2.61,5.83,495.0853,2.86,,,,,,,,,,,,,,,,,,,,,,,
Q2 2003,0.84,6/30/03,313.421,0.84,1.127,304.82,474.66,1.19,160.8948,,Q1 1997,2.34,0.35,506.6703,2.85,,,,,,,,,,,,,,,,,,,,,,,
Q3 2003,0.93,9/30/03,323.591,0.93,0.897,311.771,476.07,1.06,161.355,,Q2 1997,2.82,5.23,520.9584,3.61,,,,,,,,,,,,,,,,,,,,,,,
Q4 2003,0.91,12/31/03,318.58,0.91,0.948,310.694,477.38,1.08,161.7834,,Q3 1997,3.38,6.53,538.5668,3.62,,,,,,,,,,,,,,,,,,,,,,,
