Date,US TREASURY BILL RATE - 3 MONTH (EP) NADJ,Date,US BENCHMARK 10 YEAR DS GOVT. INDEX - TOT RETURN IND,US TREASURY BILL RATE - 3 MONTH (EP) NADJ,RF US GVT BMK BID YLD 3M - RED. YIELD,US BENCHMARK 5 YEAR DS GOVT. INDEX - TOT RETURN IND,US DOLLAR 3M DEPOSIT (FT/RFV) - TOT RETURN IND,US DOLLAR 3M DEPOSIT (FT/RFV) - MIDDLE RATE,US DOLLAR 3M DEPOSIT (FT/RFV) - RETURN IND. (OFCL),,Date,US NCREIF: NPI RETURNS - NATIONAL NADJ,US NCREIF: TBI RETURNS - NATIONAL(DISC.) NADJ,US NCREIF PROPERTY INDEX: VALUE OF RETURN - NATIONAL NADJ,US NCREIF: FUND INDEX OPEN-END DIVERSIFIED CORE RETURNS NADJ,,,,,,,,,,,,,,,,,,,,,,,
Q1 2004,0.93,3/31/04,314.146,0.93,0.927,308.413,478.74,1.11,162.2281,,Q4 1997,4.7,7.34,563.8794,4.24,,,,,,,,,,,,,,,,,,,,,,,
Q2 2004,1.3,6/30/04,327.094,1.3,0.932,316.876,480.02,1.06,162.6463,,Q1 1998,4.13,9.7,587.1676,3.81,,,,,,,,,,,,,,,,,,,,,,,
Q3 2004,1.68,9/30/04,314.042,1.68,1.208,307.929,481.53,1.54,163.1391,,Q2 1998,4.19,2.47,611.77,5.02,,,,,,,,,,,,,,,,,,,,,,,
Q4 2004,2.18,12/31/04,326.709,2.18,1.68,315.201,483.62,1.99,163.8292,,Q3 1998,3.47,-4.96,632.9984,3.83,,,,,,,,,,,,,,,,,,,,,,,
Q1 2005,2.73,3/31/05,329.341,2.73,2.206,315.41,486.46,2.55,164.774,,Q4 1998,3.55,6.57,655.4698,2.84,,,,,,,,,,,,,,,,,,,,,,,
Q2 2005,3.06,6/30/05,326.402,3.06,2.766,311.451,489.78,3.03,165.8823,,Q1 1999,2.59,2.91,672.4465,3.01,,,,,,,,,,,,,,,,,,,,,,,
Q3 2005,3.47,9/30/05,340.129,3.47,3.11,318.021,493.76,3.505,167.2169,,Q2 1999,2.62,-0.1,690.0646,3.19,,,,,,,,,,,,,,,,,,,,,,,
Q4 2005,3.99,12/31/05,333.544,3.99,3.527,314.886,498.56,4.045,168.8259,,Q3 1999,2.81,0.42,709.4554,2.95,,,,,,,,,,,,,,,,,,,,,,,
Q1 2006,4.52,3/31/06,336.695,4.52,4.074,315.973,503.96,4.54,170.6397,,Q4 1999,2.89,5.6,729.9587,3.42,,,,,,,,,,,,,,,,,,,,,,,
Q2 2006,4.87,6/30/06,326.838,4.87,4.597,312.263,509.96,4.98,172.6591,,Q1 2000,2.4,-0.9,747.4777,2.74,,,,,,,,,,,,,,,,,,,,,,,
Q3 2006,4.77,9/30/06,323.433,4.77,4.974,311.998,516.6,5.45,174.8913,,Q2 2000,3.05,5.06,770.2757,3.65,,,,,,,,,,,,,,,,,,,,,,,
Q4 2006,4.89,12/31/06,340.621,4.89,4.871,323.029,523.58,5.315,177.2504,,Q3 2000,2.95,4.47,792.9989,3.87,,,,,,,,,,,,,,,,,,,,,,,
Q1 2007,4.9,3/31/07,341.647,4.9,5.016,324.207,530.57,5.3,179.6089,,Q4 2000,3.32,-1.18,819.3264,3.32,,,,,,,,,,,,,,,,,,,,,,,
Q2 2007,4.68,6/30/07,346.727,4.68,5.016,329.958,537.64,5.295,181.9945,,Q1 2001,2.37,-0.76,838.7445,2.3,,,,,,,,,,,,,,,,,,,,,,,
Q3 2007,3.72,9/30/07,340.826,3.72,4.791,328.03,544.8,5.315,184.4122,,Q2 2001,2.46,11.71,859.3776,1.95,,,,,,,,,,,,,,,,,,,,,,,
Q4 2007,3.29,12/31/07,356.142,3.29,3.78,341.464,552.2,5.19,186.9068,,Q3 2001,1.6,-0.32,873.1276,0.9,,,,,,,,,,,,,,,,,,,,,,,
Q1 2008,1.36,3/31/08,374.596,1.36,3.247,357.152,559.22,4.78,189.2693,,Q4 2001,0.68,-2.55,879.0649,0.38,,,,,,,,,,,,,,,,,,,,,,,
Q2 2008,1.87,6/30/08,392.677,1.87,1.336,373.909,563.76,2.81,190.7934,,Q1 2002,1.51,4.58,892.3388,0.52,,,,,,,,,,,,,,,,,,,,,,,
Q3 2008,0.9,9/30/08,382.186,0.9,1.864,365.538,567.72,2.855,192.1192,,Q2 2002,1.61,0.56,906.7054,1.27,,,,,,,,,,,,,,,,,,,,,,,
Q4 2008,0.11,12/31/08,393.618,0.11,0.798,377.477,572.05,4.38,193.539,,Q3 2002,1.79,6.2,922.9354,1.67,,,,,,,,,,,,,,,,,,,,,,,
Q1 2009,0.21,3/31/09,454.004,0.21,0.127,408.048,576.31,1.56,194.9137,,Q4 2002,1.67,0.37,938.3485,1.97,,,,,,,,,,,,,,,,,,,,,,,
Q2 2009,0.19,6/30/09,443.472,0.19,0.208,410.316,578.16,1.37,195.5062,,Q1 2003,1.88,1.13,955.9894,1.84,,,,,,,,,,,,,,,,,,,,,,,
Q3 2009,0.14,9/30/09,414.472,0.14,0.172,397.523,579.6,0.83,195.9145,,Q2 2003,2.09,3.3,975.9696,2.46,,,,,,,,,,,,,,,,,,,,,,,
Q4 2009,0.06,12/31/09,430.725,0.06,0.101,405.559,580.53,0.35,196.173,,Q3 2003,1.97,1.06,995.1962,2.26,,,,,,,,,,,,,,,,,,,,,,,
Q1 2010,0.16,3/31/10,411.585,0.16,0.061,400.903,581.04,0.345,196.3027,,Q4 2003,2.76,2.74,1022.6636,2.41,,,,,,,,,,,,,,,,,,,,,,,
Q2 2010,0.18,6/30/10,413.991,0.18,0.162,406.047,581.54,0.36,196.4251,,Q1 2004,2.56,0.58,1048.8438,2.33,,,,,,,,,,,,,,,,,,,,,,,
Q3 2010,0.16,9/30/10,450.712,0.16,0.172,425.928,582.3,0.905,196.6377,,Q2 2004,3.13,8.86,1081.6726,3.28,,,,,,,,,,,,,,,,,,,,,,,
Q4 2010,0.12,12/31/10,472.021,0.12,0.157,440.628,583.1,0.34,196.8581,,Q3 2004,3.42,2.71,1118.6658,3.26,,,,,,,,,,,,,,,,,,,,,,,
Q1 2011,0.09,3/31/11,445.833,0.09,0.124,428.319,583.74,0.39,197.025,,Q4 2004,4.66,1.27,1170.7956,3.61,,,,,,,,,,,,,,,,,,,,,,,
Q2 2011,0.03,6/30/11,445.925,0.03,0.063,427.926,584.32,0.27,197.1778,,Q1 2005,3.51,1.36,1211.8906,4.5,,,,,,,,,,,,,,,,,,,,,,,
Q3 2011,0.02,9/30/11,459.332,0.02,0.018,440.919,584.73,0.3,197.2779,,Q2 2005,5.34,18.14,1276.6055,5.21,,,,,,,,,,,,,,,,,,,,,,,
Q4 2011,0.02,12/31/11,523.068,0.02,0.008,465.049,585.27,0.47,197.4136,,Q3 2005,4.44,1.26,1333.2868,5.05,,,,,,,,,,,,,,,,,,,,,,,
Q1 2012,0.07,3/31/12,522.755,0.07,0.02,468.695,585.98,0.63,197.6153,,Q4 2005,5.43,5.25,1405.6843,5.11,,,,,,,,,,,,,,,,,,,,,,,
Q2 2012,0.09,6/30/12,512.089,0.09,0.079,466.756,586.62,0.35,197.7999,,Q1 2006,3.62,6.74,1456.5701,3.8,,,,,,,,,,,,,,,,,,,,,,,
Q3 2012,0.1,9/30/12,545.647,0.1,0.101,476.877,587.4,0.555,198.0149,,Q2 2006,4.01,3.68,1514.9785,3.98,,,,,,,,,,,,,,,,,,,,,,,
Q4 2012,0.05,12/31/12,547.597,0.05,0.086,479.477,588.09,0.39,198.2048,,Q3 2006,3.51,1.79,1568.1543,3.54,,,,,,,,,,,,,,,,,,,,,,,
Q1 2013,0.07,3/31/13,544.782,0.07,0.046,478.712,588.62,0.3,198.3575,,Q4 2006,4.51,9.38,1638.878,4.09,,,,,,,,,,,,,,,,,,,,,,,
Q2 2013,0.04,6/30/13,544.636,0.04,0.079,479.962,589.15,0.55,198.5069,,Q1 2007,3.62,4.6,1698.2054,3.93,,,,,,,,,,,,,,,,,,,,,,,
Q3 2013,0.02,9/30/13,519.033,0.02,0.041,468.427,589.63,0.28,198.641,,Q2 2007,4.59,4.6,1776.153,5.07,,,,,,,,,,,,,,,,,,,,,,,
Q4 2013,0.07,12/31/13,515.247,0.07,0.03,470.746,590.05,0.22,198.7592,,Q3 2007,3.56,-2.84,1839.3841,4,,,,,,,,,,,,,,,,,,,,,,,
Q1 2014,0.05,3/31/14,503.824,0.05,0.073,467.113,590.4,0.21,198.8522,,Q4 2007,3.21,1.75,1898.4283,2.11,,,,,,,,,,,,,,,,,,,,,,,
Q2 2014,0.04,6/30/14,519.27,0.04,0.041,470.161,590.76,0.24,198.9467,,Q1 2008,1.6,1.41,1928.8032,1.37,,,,,,,,,,,,,,,,,,,,,,,
Q3 2014,0.02,9/30/14,532.502,0.02,0.041,475.24,591.12,0.29,199.047,,Q2 2008,0.56,-1.64,1939.6045,0.32,,,,,,,,,,,,,,,,,,,,,,,
Q4 2014,0.04,12/31/14,543.726,0.04,0.018,477.004,591.56,0.275,199.1708,,Q3 2008,-0.17,0.82,1936.3071,-0.63,,,,,,,,,,,,,,,,,,,,,,,
Q1 2015,0.03,3/31/15,558.755,0.03,0.041,480.622,592,0.425,199.2888,,Q4 2008,-8.29,-12.09,1775.7873,-10.94,,,,,,,,,,,,,,,,,,,,,,,
Q2 2015,0.01,6/30/15,576.966,0.01,0.038,490.04,592.53,0.36,199.4412,,Q1 2009,-7.33,-0.17,1645.6221,-13.69,,,,,,,,,,,,,,,,,,,,,,,
Q3 2015,-0.01,9/30/15,551.353,-0.01,0.013,483.169,593.02,0.44,199.5724,,Q2 2009,-5.2,-16.12,1560.0497,-9.03,,,,,,,,,,,,,,,,,,,,,,,
Q4 2015,0.16,12/31/15,573.326,0.16,-0.01,493.589,593.66,0.57,199.7605,,Q3 2009,-3.32,3.01,1508.2561,-7.32,,,,,,,,,,,,,,,,,,,,,,,
Q1 2016,0.21,3/31/16,564.47,0.21,0.178,486.289,594.67,0.755,200.0767,,Q4 2009,-2.11,-2.28,1476.4319,-3.48,,,,,,,,,,,,,,,,,,,,,,,
Q2 2016,0.26,6/30/16,591.061,0.26,0.233,499.771,595.8,0.79,200.433,,Q1 2010,0.76,4.54,1487.6527,0.75,,,,,,,,,,,,,,,,,,,,,,,
Q3 2016,0.28,9/30/16,612.09,0.28,0.259,508.253,597,1.05,200.8161,,Q2 2010,3.31,9.78,1536.894,4.32,,,,,,,,,,,,,,,,,,,,,,,
Q4 2016,0.5,12/31/16,605.007,0.5,0.307,504.965,598.4,1.01,201.2538,,Q3 2010,3.86,-5.2,1596.2182,5.45,,,,,,,,,,,,,,,,,,,,,,,
Q1 2017,0.75,3/31/17,569.498,0.75,0.502,490.406,599.77,1.1,201.687,,Q4 2010,4.62,13.27,1669.9634,4.99,,,,,,,,,,,,,,,,,,,,,,,
Q2 2017,1.01,6/30/17,576.118,1.01,0.764,494.238,601.38,1.3,202.1998,,Q1 2011,3.36,1.05,1726.0742,4.01,,,,,,,,,,,,,,,,,,,,,,,
Q3 2017,1.04,9/30/17,576.93,1.04,1.026,494.702,603.17,1.34,202.7719,,Q2 2011,3.94,-0.24,1794.0815,4.62,,,,,,,,,,,,,,,,,,,,,,,
Q4 2017,1.37,12/31/17,582.164,1.37,1.044,496.483,605.22,1.38,203.4132,,Q3 2011,3.3,11.6,1853.2862,3.52,,,,,,,,,,,,,,,,,,,,,,,
Q1 2018,1.7,3/31/18,581.497,1.7,1.391,492.939,607.52,1.76,204.1371,,Q4 2011,2.96,-3.38,1908.1435,2.97,,,,,,,,,,,,,,,,,,,,,,,
Q2 2018,1.89,6/30/18,567.948,1.89,1.723,488.039,610.56,2.38,205.0842,,Q1 2012,2.59,3.35,1957.5644,2.82,,,,,,,,,,,,,,,,,,,,,,,
Q3 2018,2.15,9/30/18,563.244,2.15,1.935,485.519,614.21,2.39,205.4852,,Q2 2012,2.68,0.95,2010.0271,2.58,,,,,,,,,,,,,,,,,,,,,,,
Q4 2018,2.4,12/31/18,554.185,2.4,2.206,483.6,617.89,2.45,205.8862,,Q3 2012,2.34,3.47,2057.0618,2.77,,,,,,,,,,,,,,,,,,,,,,,
Q1 2019,2.35,3/31/19,580.674,2.35,2.381,498.036,622.06,2.87,206.3223,,Q4 2012,2.54,0.07,2109.3111,2.35,,,,,,,,,,,,,,,,,,,,,,,
Q2 2019,2.08,6/30/19,594.022,2.08,2.392,505.163,626.22,2.6,206.7659,,Q1 2013,2.57,2.98,2163.5204,2.68,,,,,,,,,,,,,,,,,,,,,,,
Q3 2019,1.84,9/30/19,622.939,1.84,2.125,519.626,630.15,2.32,207.1909,,Q2 2013,2.87,7.63,2225.6135,3.86,,,,,,,,,,,,,,,,,,,,,,,
Q4 2019,1.52,12/31/19,650.096,1.52,1.826,531.504,633.65,2.09,207.5484,,Q3 2013,2.59,4.37,2283.2569,3.56,,,,,,,,,,,,,,,,,,,,,,,
Q1 2020,0.11,3/31/20,636.002,0.11,1.556,528.099,636.74,1.92,207.8608,,Q4 2013,2.53,-1.52,2341.0233,3.17,,,,,,,,,,,,,,,,,,,,,,,
Q2 2020,0.16,6/30/20,731.109,0.16,0.074,567.861,639.15,1.37,208.1163,,Q1 2014,2.74,0.24,2405.1673,2.52,,,,,,,,,,,,,,,,,,,,,,,
Q3 2020,0.1,9/30/20,726.915,0.1,0.142,569.726,639.95,0.225,208.1856,,Q2 2014,2.91,6.81,2475.1577,2.93,,,,,,,,,,,,,,,,,,,,,,,
Q4 2020,0.09,12/31/20,729.972,0.09,0.091,571.539,640.27,0.18,208.1938,,Q3 2014,2.63,0.46,2540.2543,3.24,,,,,,,,,,,,,,,,,,,,,,,
,0.01,,,,,,,,,,Q4 2014,3.04,6.19,2617.478,3.26,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Q1 2015,3.57,1.15,2710.922,3.39,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Q2 2015,3.14,6.71,2796.045,3.82,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Q3 2015,3.09,1.37,2882.4428,3.68,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Q4 2015,2.91,-0.55,2966.3218,3.34,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Q1 2016,2.21,4.6,3031.8776,2.18,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Q2 2016,2.03,-0.13,3093.4247,2.13,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Q3 2016,1.77,3.97,3148.1783,2.07,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Q4 2016,1.73,2.65,3202.6418,2.11,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Q1 2017,1.55,-0.78,3252.2827,1.77,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Q2 2017,1.75,3.89,3309.1977,1.7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Q3 2017,1.7,7.4,3365.454,1.87,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Q4 2017,1.8,0.03,3426.0322,2.07,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Q1 2018,1.7,4.02,3484.2747,2.2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Q2 2018,1.81,2.31,3547.3401,2.05,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Q3 2018,1.67,5.47,3606.5807,2.09,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Q4 2018,1.37,3.04,3655.9908,1.76,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Q1 2019,1.8,-3.32,3721.7987,1.42,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Q2 2019,1.51,6.61,3777.9978,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Q3 2019,1.41,3.26,3831.2676,1.31,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Q4 2019,1.55,-1.58,3890.6523,1.51,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Q1 2020,0.71,0.02,3918.2759,0.98,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Q2 2020,-0.99,,3879.485,-1.56,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Q3 2020,0.74,,3908.1932,0.48,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Q4 2020,1.15,,3953.1374,1.3,,,,,,,,,,,,,,,,,,,,,,,